timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690054964458,46,DELETE Activity,200,OK,StressTest 1-9,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,46,0,0
1690054964458,56,PUT Activity,200,OK,StressTest 1-1,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,53,0,0
1690054964464,50,GET Activity,200,OK,StressTest 1-15,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,50,0,0
1690054964465,49,DELETE Activity,200,OK,StressTest 1-12,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,49,0,0
1690054964473,41,GET Activity,200,OK,StressTest 1-2,text,true,,289,209,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,41,0,0
1690054964477,42,DELETE Activity,200,OK,StressTest 1-8,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,42,0,0
1690054964477,45,POST Activity,200,OK,StressTest 1-13,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,45,0,0
1690054964484,40,GET Activity,200,OK,StressTest 1-5,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,40,0,0
1690054964485,40,GET Activity,200,OK,StressTest 1-3,text,true,,286,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,40,0,0
1690054964488,42,POST Activity,200,OK,StressTest 1-7,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054964494,44,PUT Activity,200,OK,StressTest 1-14,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,44,0,0
1690054964494,47,GET All Activities,200,OK,StressTest 1-11,text,true,,3045,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,47,0,0
1690054964497,44,GET Activity,200,OK,StressTest 1-10,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,44,0,0
1690054964503,42,GET All Activities,200,OK,StressTest 1-4,text,true,,3043,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054964503,46,PUT Activity,200,OK,StressTest 1-6,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,46,0,0
1690054964504,47,GET All Activities,200,OK,StressTest 1-9,text,true,,3047,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,46,0,0
1690054964514,37,DELETE Activity,200,OK,StressTest 1-1,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,37,0,0
1690054964514,43,PUT Activity,200,OK,StressTest 1-15,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,43,0,0
1690054964514,46,GET All Activities,200,OK,StressTest 1-12,text,true,,3049,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,46,0,0
1690054964519,42,GET All Activities,200,OK,StressTest 1-8,text,true,,3048,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054964514,49,PUT Activity,200,OK,StressTest 1-2,text,true,,275,332,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,49,0,0
